# Rime user dictionary
#@/db_name	luna_pinyin_extend
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	527
#@/user_id	MatebookE
yi ru ji wang 	一如既往	c=1 d=1 t=427
yi xia 	一下	c=2 d=1.80654 t=137
ying fu 	應付	c=1 d=1.09231 t=79
ying fu bu lai 	應付不來	c=1 d=1 t=64
ying wen 	英文	c=2 d=1.99501 t=342
yong de 	用的	c=1 d=1 t=379
you 	又	c=2 d=1.34819 t=443
you 	有	c=4 d=1.67849 t=517
you dian 	有點	c=3 d=2.69274 t=63
you he 	又和	c=1 d=1 t=219
you you 	呦呦	c=1 d=1 t=499
yue 	月	c=1 d=1 t=486
yue di 	月底	c=1 d=1 t=424
zai 	再	c=3 d=2.10589 t=433
zai 	在	c=1 d=1 t=121
zen me 	怎麼	c=1 d=1 t=95
zen me le 	怎麼了	c=1 d=1 t=49
zhao pian 	照片	c=1 d=1 t=497
zhe dian 	這點	c=1 d=1 t=169
zhe ge 	這個	c=2 d=1.9802 t=28
zhe ren 	這人	c=1 d=1 t=36
zhe zhong ren 	這種人	c=2 d=1.92774 t=76
zhen 	真	c=1 d=1 t=395
zhen de 	真的	c=2 d=1.12431 t=494
zheng shi 	正式	c=1 d=1 t=466
zheng ze 	正則	c=0 d=0.1 t=6
zheng ze biao da shi 	正則表達式	c=1 d=1 t=7
zhi dao 	知道	c=1 d=1 t=370
zhi jie 	直接	c=1 d=1 t=241
zhi ling 	指令	c=2 d=1.9802 t=380
zhi shao 	至少	c=2 d=1.99005 t=464
zhi shi 	只是	c=3 d=1.87142 t=449
zhong 	中	c=1 d=1 t=253
zhong kao 	中考	c=1 d=1 t=234
zhong wen 	中文	c=1 d=1 t=334
zhu ren 	主人	c=1 d=1 t=165
zhu shi 	註釋	c=1 d=1 t=15
zhu shou 	助手	c=1 d=1 t=152
zhua 	抓	c=1 d=1 t=293
zi 	自	c=1 d=1 t=518
zi mu 	字幕	c=1 d=1 t=254
zui hao shi 	最好是	c=1 d=1 t=461
zuo de 	做的	c=1 d=1 t=453
zuo zhe 	坐着	c=2 d=1.90032 t=144
